Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432314219, 7, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314221, 7, 1, 0, 1, 1, l, reaching, 0.149136, -0.21135, -0.250828, 0.354927, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314226, 7, 1, 0, 1, 0, l, complete, 0.0894385, -0.288914, -0.255076, 0.23487, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314229, 7, 1, 0, 1, 0, l, waiting, 0.0894385, -0.288914, -0.255076, 0.23487, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314231, 7, 1, 0, 1, 1, l, reaching, 0.0920805, -0.28881, -0.256839, 0.231532, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314232, 7, 1, 0, 1, 0, l, complete, 0.0956933, -0.288429, -0.257215, 0.227102, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314241, 7, 1, 1, 1, 0, l, waiting, 0.0956933, -0.288429, -0.257215, 0.227102, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314241, 7, 1, 1, 0, 1, r, waiting, 0.0956933, -0.288429, -0.257215, 0.227102, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314248, 7, 1, 1, 0, 0, r, reaching, 0.234343, -0.168825, 0.135073, 0.405567, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314248, 7, 1, 1, 0, 1, r, reaching, 0.234343, -0.168825, 0.135073, 0.405567, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314273, 7, 1, 0, 0, 0, r, reaching, 0.113071, -0.274489, 0.0600382, 0.361612, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314279, 7, 0, 0, 0, 0, r, reaching, 0.0292614, -0.337016, 0.0350252, 0.245038, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314287, 7, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314287, 7, 0, 0, 0, 1, r, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314299, 7, 0, 0, 0, 0, r, reaching, 0.190362, -0.189908, 0.0596481, 0.386691, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314299, 7, 0, 0, 0, 1, r, reaching, 0.190362, -0.189908, 0.0596481, 0.386691, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314306, 7, 0, 0, 0, 0, r, reaching, 0.170727, -0.208261, 0.0555961, 0.378449, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314306, 7, 0, 0, 0, 1, l, reaching, 0.170727, -0.208261, 0.0555961, 0.378449, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314311, 7, 0, 0, 0, 0, l, complete, 0.0898595, -0.295978, -0.256416, 0.22848, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314311, 7, 0, 0, 0, 1, l, complete, 0.0898595, -0.295978, -0.256416, 0.22848, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314311, 7, 0, 0, 0, 0, l, complete, 0.0898595, -0.295978, -0.256416, 0.22848, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314324, 7, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314326, 7, 0, 0, 1, 1, l, reaching, 0.182058, -0.183892, -0.238129, 0.373569, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314331, 7, 0, 0, 1, 0, l, complete, 0.0960428, -0.297213, -0.257974, 0.220162, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
