x y radius usage
74.37 92.17 12 -3
160 68.33 8.3 -3
168.77 64.61 8.7 8
168.77 64.61 8.7 8
158.58 117.22 3.4 7
132.17 34.37 12 2
143.77 122.56 4.7 8
187.61 92.38 7 10
160 92.67 5.8 8
166.79 126.79 4 7
170.82 86.66 6.6 17
135.35 44.14 11 0
146.72 36.21 11.5 5
182.01 97.98 6.2 0
65.82 134.91 12.6 18
145.36 112.54 4.7 16
113.88 73.88 9.6 6
185.36 85.08 7.4 20
132.17 34.37 12 2
183.3 123.69 5.5 8
146.66 78.95 7.4 -1
59.23 19.23 17.1 0
59.23 19.23 17.1 0
49.86 39.98 16.5 -2
167.62 109.5 4.4 5
184.64 44.14 11 -1
117.8 98.49 7.8 4
145.08 25.82 12.6 10
146.72 36.21 11.5 5
138.49 77.8 7.8 0
162.77 118.58 3.4 6
171.7 46.12 10.5 1
113.11 55.47 11 8
86.12 131.7 10.5 14
132.17 34.37 12 2
162.2 117.79 3.4 4
166.1 81.42 7 9
84.14 95.35 11 19
64.14 88.85 13.1 10
160 76.84 7.4 -1
163.71 125.11 3.7 7
111.71 25.24 13.6 -2
76.65 36.65 14.7 -1
92.58 52.58 12.6 1
124.95 120 6.6 13
160 40.24 11 2
181.02 109.28 5.5 20
175.96 70.86 8.3 1
170.71 141.02 5.5 19
126.04 53.35 10.5 18
173.27 36.21 11.5 -2
135.35 44.14 11 0
148.38 108.38 4.7 2
121.48 44.41 11.5 -2
174.91 25.82 12.6 -3
157.79 122.2 3.4 4
132.17 34.37 12 2
118.95 133.33 7.4 3
49.86 39.98 16.5 -2
171.73 103.84 5.1 5
76.21 106.72 11.5 21
161.5 129.479 4 9
110.97 84.38 9.1 0
129.24 124.87 6.2 4
132.17 34.37 12 2
113.88 73.88 9.6 6
135.35 44.14 11 0
84.41 81.48 11.5 22
99.4 119.99 9.1 17
145.08 25.82 12.6 10
103.4 78.88 10.1 -1
173.33 78.95 7.4 1
113.22 127.4 7.8 4
113.11 55.47 11 8
184.64 44.14 11 -1
160 29.97 12 3
148.38 108.38 4.7 2
158.04 113.98 3.7 7
130.39 61.89 9.6 -1
69.97 119.99 12 16
76.65 36.65 14.7 -1
95.58 109.79 9.6 12
178.99 126.17 5.1 8
95.58 109.79 9.6 12
93.35 86.04 10.5 9
174.63 127.45 4.7 10
173.27 36.21 11.5 -2
182.01 142.01 6.2 1
157.79 117.79 3.4 3
138.49 77.8 7.8 0
143.94 142.1 5.8 0
143.94 142.1 5.8 0
84.14 144.64 11 29
92.58 52.58 12.6 1
143.31 136.68 5.5 1
152.54 134.63 4.7 18
187.74 134.13 6.2 -1
171.7 46.12 10.5 1
78.46 60.76 13.1 30
107.08 47.16 12 5
181.02 109.28 5.5 20
179.96 120 5.1 12
159.51 123.08 3.4 6
171.61 108.38 4.7 6
170.2 55.58 9.6 2
132.67 120 5.8 6
74.37 147.82 12 15
171.7 46.12 10.5 1
104.61 111.22 8.7 4
84.14 95.35 11 19
166.79 113.2 4 4
162.56 136.22 4.7 22
187.74 105.86 6.2 6
126.04 53.35 10.5 18
181.61 53.47 10.1 1
155.12 89.24 6.2 0
162.56 103.77 4.7 2
110.86 104.03 8.3 8
160 50.04 10.1 0
110.86 135.96 8.3 7
146.72 36.21 11.5 5
121.48 44.41 11.5 -2
86.12 108.29 10.5 13
153.89 81.42 7 1
90.04 119.99 10.1 10
84.8 44.8 13.6 1
113.22 112.59 7.8 5
92.58 52.58 12.6 1
86.12 131.7 10.5 14
170.2 55.58 9.6 2
121.42 126.1 7 0
160 50.04 10.1 0
135.35 44.14 11 0
160 139.96 5.1 7
152.59 73.22 7.8 0
134.01 128.44 5.8 1
178.99 126.17 5.1 8
174.13 92.25 6.2 5
160 50.04 10.1 0
137.89 136.05 5.8 4
100.76 38.46 13.1 15
184.64 44.14 11 -1
108.33 119.99 8.3 7
160 40.24 11 2
160 59.4 9.1 -1
100.01 60.01 11.5 2
120.34 80.34 8.7 1
76.21 133.27 11.5 3
126.04 53.35 10.5 18
116.71 35.04 12.6 2
132.17 34.37 12 2
132.17 34.37 12 2
93.47 141.61 10.1 16
167.45 134.63 4.7 15
110.03 94.54 8.7 0
