x y radius
69.35 185.85 14.2
54.98 173.5 14.7
59.83 192.77 15.3
44.25 178.97 15.9
49.86 200.01 16.5
33.03 184.69 17.1
39.45 207.58 17.8
21.3 190.66 18.4
28.56 215.49 19.1
9.05 196.91 19.7
17.19 223.75 20.4
5.31 232.38 21.8
156.91 120.48 3.4
153.98 121.95 3.7
150.51 121.5 4
147.66 124 4.4
143.77 122.56 4.7
141 126.17 5.1
136.69 123.69 5.5
134.01 128.44 5.8
129.24 124.87 6.2
126.66 130.82 6.6
121.42 126.1 7
118.95 133.33 7.4
113.22 127.4 7.8
110.86 135.96 8.3
104.61 128.77 8.7
102.37 138.72 9.1
95.58 130.2 9.6
93.47 141.61 10.1
86.12 131.7 10.5
84.14 144.64 11
76.21 133.27 11.5
74.37 147.82 12
65.82 134.91 12.6
64.14 151.14 13.1
54.96 136.63 13.6
53.44 154.62 14.2
43.59 138.43 14.7
42.24 158.26 15.3
31.69 140.32 15.9
30.53 162.06 16.5
19.25 142.29 17.1
18.28 166.04 17.8
6.25 144.35 18.4
5.48 170.2 19.1
156.91 119.51 3.4
153.67 120 3.7
150.51 118.49 4
147.02 120 4.4
143.77 117.43 4.7
140.03 120 5.1
136.69 116.3 5.5
132.67 120 5.8
129.24 115.12 6.2
124.95 120 6.6
121.42 113.89 7
116.84 120 7.4
113.22 112.59 7.8
108.33 119.99 8.3
104.61 111.22 8.7
99.4 119.99 9.1
95.58 109.79 9.6
90.04 119.99 10.1
86.12 108.29 10.5
80.24 119.99 11
76.21 106.72 11.5
69.97 119.99 12
65.82 105.08 12.6
59.21 119.99 13.1
54.96 103.36 13.6
47.96 119.99 14.2
43.59 101.56 14.7
36.18 119.99 15.3
31.69 99.67 15.9
23.86 119.99 16.5
19.25 97.7 17.1
10.99 119.99 17.8
6.25 95.64 18.4
157.22 118.58 3.4
153.98 118.04 3.7
151.44 115.63 4
147.66 115.99 4.4
145.36 112.54 4.7
141 113.82 5.1
138.97 109.28 5.5
134.01 111.55 5.8
132.25 105.86 6.2
126.66 109.17 6.6
125.2 102.27 7
118.95 106.66 7.4
117.8 98.49 7.8
110.86 104.03 8.3
110.03 94.54 8.7
102.37 101.27 9.1
101.89 90.39 9.6
93.47 98.38 10.1
93.35 86.04 10.5
84.14 95.35 11
84.41 81.48 11.5
74.37 92.17 12
75.04 76.71 12.6
64.14 88.85 13.1
65.239 71.71 13.6
53.44 85.37 14.2
54.98 66.49 14.7
42.24 81.73 15.3
44.25 61.02 15.9
30.53 77.93 16.5
33.03 55.3 17.1
18.28 73.95 17.8
21.3 49.33 18.4
5.48 69.79 19.1
9.05 43.08 19.7
157.79 117.79 3.4
154.88 116.28 3.7
153.2 113.2 4
149.5 112.37 4.4
148.38 108.38 4.7
143.84 108.26 5.1
143.31 103.31 5.5
137.89 103.94 5.8
137.98 97.98 6.2
131.64 99.4 6.6
132.38 92.38 7
125.08 94.63 7.4
126.51 86.51 7.8
118.2 89.63 8.3
120.34 80.34 8.7
110.97 84.38 9.1
113.88 73.88 9.6
103.4 78.88 10.1
107.11 67.11 10.5
95.47 73.11 11
100.01 60.01 11.5
87.16 67.08 12
92.58 52.58 12.6
78.46 60.76 13.1
84.8 44.8 13.6
69.35 54.14 14.2
76.65 36.65 14.7
59.83 47.22 15.3
68.14 28.14 15.9
49.86 39.98 16.5
59.23 19.23 17.1
39.45 32.41 17.8
49.93 9.93 18.4
28.56 24.5 19.1
40.2 0.2 19.7
17.19 16.24 20.4
5.31 7.61 21.8
158.58 117.22 3.4
156.28 114.88 3.7
155.63 111.44 4
152.37 109.5 4.4
152.54 105.36 4.7
148.26 103.84 5.1
