x y radius usage
93.47 98.38 10.1 5
93.47 98.38 10.1 5
153.89 158.57 7 7
188.35 140.59 6.6 2
160.48 123.08 3.4 1
118.88 63.4 10.1 11
188.35 140.59 6.6 2
157.22 118.58 3.4 3
160 100.03 5.1 11
170.49 112.37 4.4 2
171.61 108.38 4.7 3
144.03 169.13 8.3 -1
211.66 120 8.3 4
151.44 124.36 4 3
104.61 111.22 8.7 3
160 171.66 8.3 4
187.61 92.38 7 3
160 113.67 3.7 1
107.08 47.16 12 0
161.41 117.22 3.4 5
167.45 134.63 4.7 1
126.51 86.51 7.8 1
151.44 115.63 4 4
174.13 147.74 6.2 7
118.95 106.66 7.4 4
174.13 147.74 6.2 7
159.51 123.08 3.4 4
211.518 106.508 10.1 0
211.536 106.482 10.1 0
211.536 106.482 10.1 0
147.66 124 4.4 3
147.66 124 4.4 3
156.3 143.3 5.5 5
99.4 119.99 9.1 -1
176.15 108.26 5.1 9
162.77 121.41 3.4 2
162.77 121.41 3.4 2
168.55 124.36 4 3
265.01 66.49 14.7 -1
103.4 161.11 10.1 2
103.4 161.11 10.1 2
107.08 192.83 12 2
149.5 127.62 4.4 4
107.08 192.83 12 2
131.64 140.59 6.6 1
166.1 158.57 7 3
198.51 195.58 11.5 4
99.4 119.99 9.1 -1
95.58 109.79 9.6 7
69.97 119.99 12 5
154.88 123.71 3.7 1
145.08 25.82 12.6 13
145.08 25.82 12.6 13
168.55 115.63 4 5
148.26 136.15 5.1 7
69.35 185.85 14.2 0
170.82 153.33 6.6 4
170.2 55.58 9.6 2
170.2 55.58 9.6 2
84.8 44.8 13.6 -1
172.97 120 4.4 10
146.72 36.21 11.5 1
272.86 96.348 12.6 0
272.72 96.149 12.6 0
272.72 96.149 12.6 0
164.36 111.44 4 0
86.12 131.7 10.5 0
174.91 214.17 12.6 14
94.14 210.64 14.2 -1
84.41 81.48 11.5 -1
183.3 123.69 5.5 8
155.63 128.55 4 3
260.78 120 13.1 0
248.186 92.632 12.6 0
143.84 108.26 5.1 9
64.14 151.14 13.1 9
152.54 105.36 4.7 2
153.82 101 5.1 12
137.89 103.94 5.8 8
130.39 178.1 9.6 -1
