Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1431549027, 1, 0, 0, 1, 0, l, complete, 0.160411, -0.280654, -0.107113, 0.2775, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549031, 1, 0, 0, 0, 0, b, waiting, 0, 0, 0, 0, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549058, 1, 2, 0, 0, 0, b, waiting, 0, 0, 0, 0, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549063, 1, 2, 0, 1, 1, l, reaching, 0.130672, -0.238988, -0.188923, 0.331955, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549066, 1, 2, 0, 1, 1, l, reaching, 0.136902, -0.274501, -0.136208, 0.290333, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549067, 1, 2, 0, 1, 0, l, complete, 0.14978, -0.280681, -0.119164, 0.277399, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549076, 1, 2, 0, 1, 1, r, reaching, 0.236592, -0.189968, 0.207861, 0.362444, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549084, 1, 2, 0, 1, 1, l, reaching, 0.128445, -0.241865, -0.187213, 0.329372, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549088, 1, 2, 0, 1, 1, l, reaching, 0.150397, -0.278469, -0.118649, 0.284207, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549091, 1, 2, 0, 1, 1, l, reaching, 0.172579, -0.278683, -0.0938255, 0.282483, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549093, 1, 2, 0, 1, 1, r, reaching, 0.160116, -0.228012, 0.123505, 0.182291, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549095, 1, 2, 1, 1, 0, r, complete, 0.164302, -0.228158, 0.123133, 0.174407, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549100, 1, 2, 1, 0, 1, r, waiting, 0, 0, 0, 0, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549105, 1, 2, 0, 1, 1, l, reaching, 0.135342, -0.233332, -0.192393, 0.337248, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549111, 1, 2, 0, 1, 1, r, reaching, 0.206339, -0.207039, 0.191834, 0.33914, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549114, 1, 2, 0, 1, 1, l, reaching, 0.150389, -0.277095, -0.119239, 0.285749, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549118, 1, 2, 0, 0, 1, r, reaching, 0.149289, -0.220066, 0.128564, 0.228397, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549119, 1, 2, 0, 0, 0, r, reaching, 0.156687, -0.219745, 0.124144, 0.202234, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1431549204, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.36225, 0.3, 0.35625, 0.1075, 0.1075, 0.94, 
1431549205, 4, 1, 1, 0, 0, b, home, 0, 0, 0, 0, 0.26975, 0.2, 0.35625, 0.1075, 0.215, 0.47, 
1431549209, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.20525, 0.1125, 0.35625, 0.1075, 0.215, 0.235, 
1431549212, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.1775, 0.10625, 0.34125, 0.1075, 0.215, 0.1175, 
1431549215, 4, 1, 1, 0, 0, b, home, 0, 0, 0, 0, 0.340063, 0.101562, 0.32625, 0.1075, 0.215, 0.95, 
1431549216, 4, 1, 1, 0, 0, b, home, 0, 0, 0, 0, 0.339906, 0.100781, 0.32625, 0.1075, 0.215, 0.95, 
1431549220, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.24476, 0.100049, 0.32625, 0.1075, 0.215, 0.475, 
1431549223, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.197252, 0.100012, 0.32625, 0.1075, 0.215, 0.2375, 
1431549225, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.170501, 0.100006, 0.31125, 0.1075, 0.215, 0.11875, 
1431549234, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.155625, 0.1, 0.29625, 0.1075, 0.215, 0.059375, 
1431549235, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.146688, 0.1, 0.28125, 0.1075, 0.215, 0.0296875, 
1431549237, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.140719, 0.1, 0.26625, 0.1075, 0.215, 0.0148437, 
1431549240, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.136234, 0.1, 0.25125, 0.1075, 0.215, 0.00742187, 
1431549251, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.132492, 0.1, 0.23625, 0.1075, 0.215, 0.00371094, 
1431549254, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.129121, 0.1, 0.22125, 0.1075, 0.215, 0.00185547, 
1431549255, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.125936, 0.1, 0.20625, 0.1075, 0.215, 0.000927734, 
1431549259, 4, 1, 0, 0, 1, r, reaching, 0.310015, -0.123904, 0.231662, 0.398104, 0.125936, 0.1, 0.20625, 0.1075, 0.215, 0.000927734, 
