inpX inpY inpRad outpX outpY outpRad lnkUsg
187.61 92.38 7 7.13 5.18 3.3 2
160 113.67 3.7 1.22 0.62 2.6 1
107.08 47.16 12 -17.51 17.51 4.6 0
161.41 117.22 3.4 1.22 0.62 2.6 5
167.45 134.63 4.7 1.13 -7.16 3.2 1
126.51 86.51 7.8 -7.37 7.37 3.4 1
151.44 115.63 4 1.22 0.62 2.6 4
174.13 147.74 6.2 3.29 -6.46 3.2 0
118.95 106.66 7.4 -11.47 3.72 3.6 0
174.13 147.74 6.2 2.72 -8.38 3.3 5
159.51 123.08 3.4 1.22 0.62 2.6 4
211.518 106.508 10.1 17.03 2.69 4 0
211.536 106.482 10.1 13.58 2.15 3.7 0
211.536 106.482 10.1 17.03 2.69 4 0
147.66 124 4.4 -4.19 -0.66 2.9 0
147.66 124 4.4 1.22 0.62 2.6 3
156.3 143.3 5.5 0 -8.81 3.3 3
99.4 119.99 9.1 -17.03 -2.69 4 0
176.15 108.26 5.1 7.13 5.18 3.3 6
162.77 121.41 3.4 1.22 -0.62 2.6 0
162.77 121.41 3.4 1.22 0.62 2.6 2
168.55 124.36 4 1.22 0.62 2.6 3
265.01 66.49 14.7 24.99 18.15 5.2 0
103.4 161.11 10.1 -15.42 -11.2 4.2 1
103.4 161.11 10.1 -18.46 -13.41 4.5 0
107.08 192.83 12 -20.36 -20.36 5 -1
149.5 127.62 4.4 1.22 0.62 2.6 4
107.08 192.83 12 -17.51 -17.51 4.6 2
131.64 140.59 6.6 -5.13 -5.13 3.2 1
166.1 158.57 7 3.72 -11.47 3.6 2
198.51 195.58 11.5 11.24 -22.06 4.6 2
99.4 119.99 9.1 -30.89 0 5.2 0
95.58 109.79 9.6 -19.06 0 4.2 5
69.97 119.99 12 -28.44 -4.5 5 3
154.88 123.71 3.7 1.22 0.62 2.6 1
145.08 25.82 12.6 -4.5 28.44 5 8
145.08 25.82 12.6 0 26.76 4.8 0
168.55 115.63 4 1.22 0.62 2.6 5
148.26 136.15 5.1 -5.13 -5.13 3.2 4
69.35 185.85 14.2 -32.16 -23.37 5.9 0
170.82 153.33 6.6 3.72 -11.47 3.6 3
170.2 55.58 9.6 2.69 17.03 4 0
170.2 55.58 9.6 4.78 14.72 3.9 2
84.8 44.8 13.6 -23.35 23.35 5.3 -1
172.97 120 4.4 1.22 0.62 2.6 8
146.72 36.21 11.5 -6.58 41.59 6.1 1
272.86 96.348 12.6 29.38 9.54 5.2 0
272.72 96.149 12.6 32.619 5.16 5.3 0
272.72 96.149 12.6 29.38 9.54 5.2 0
164.36 111.44 4 1.22 0.62 2.6 0
86.12 131.7 10.5 -28.44 -4.5 5 0
174.91 214.17 12.6 4.5 -28.44 5 11
94.14 210.64 14.2 -26.49 -26.49 5.7 -1
84.41 81.48 11.5 -37 5.86 5.7 0
183.3 123.69 5.5 7.16 1.13 3.2 5
155.63 128.55 4 1.22 0.62 2.6 3
260.78 120 13.1 30.89 0 5.2 0
248.186 92.632 12.6 25.45 8.26 4.8 1
143.84 108.26 5.1 -2.99 2.99 2.9 6
64.14 151.14 13.1 -29.43 -14.99 5.3 6
152.54 105.36 4.7 -1.92 3.77 2.9 2
153.82 101 5.1 -0.66 4.19 2.9 8
137.89 103.94 5.8 -5.13 5.13 3.2 3
130.39 178.1 9.6 -7.83 -15.36 4 0
151.22 64.61 8.7 -2.69 17.03 4 0
195.189 112.953 5.8 10.29 1.63 3.4 0
195.193 112.964 5.8 10.29 1.63 3.4 1
132.17 34.37 12 -4.5 28.44 5 0
160 180.59 9.1 0 -15.47 3.9 1
152.59 73.22 7.8 -2.15 13.58 3.7 1
