x y saccadeNo stepCount
*******************************
Starting saccade: 1
-15.47 0 1 0
-15.4723 -0.000117074 
Fixated on saccade: 1
*******************************
*******************************
Starting saccade: 2
0 0 6 8
-47.0085 35.0004 6 9
0 0 6 10
37.0283 6.00002 6 11
-0.00170456 0 6 12
-19.0349 -23.0114 6 13
0.00170456 0 6 14
0.00170456 0 6 15
-22.011 12.9988 6 16
0 0 6 17
0 0 6 18
37.0231 -34.0245 6 19
-0.00170456 0 6 20
0 0 6 21
-39.0107 47.0325 6 22
0 0 6 23
23.027 -7.9985 6 24
0 0 6 25
-0.00170456 0 6 26
-8.03873 11.0031 6 27
0 0 6 28
0 0 6 29
29.0083 -50.0133 6 30
-0.00340913 0 6 31
-15.0087 32.0041 6 32
0 0 6 33
5.01653 -19.0665 6 34
-0.00170456 0 6 35
0 0 6 36
0 0 6 37
3.9955 16.0171 6 38
0 0 6 39
0 0 6 40
16.0246 -9.99973 6 41
-0.00170456 0 6 42
0 0 6 43
0 0 6 44
-30.0242 -4.99849 6 45
0.00170456 -0.000914637 6 46
-9.01033 -8.02411 6 47
0 0 6 48
0 0 6 49
0 0 6 50
0 0 6 51
-8.02168 -1.00976 6 52
0.00170456 0 6 53
0.00170456 0 6 54
0 0 6 55
-10.0092 35.0178 6 56
0 0 6 57
58.0132 0.999698 6 58
-37.0249 -15 6 59
0 0 6 60
0 0 6 61
-5.99325 26.0223 6 62
0 0 6 63
0 0 6 64
13.0041 -49.0126 6 65
0 0 6 66
-21.0156 3.00184 6 67
0 0 6 68
0 0 6 69
44.0238 20.9991 6 70
0 0 6 71
-17.0235 -20.9991 6 72
0.00170456 0 6 73
0 0 6 74
-5.0029 34.0163 6 75
0 0 6 76
2.03525 -9.04027 6 77
-0.00170456 0 6 78
-0.00170456 0 6 79
0 0 6 80
1.98752 -9.09515 6 81
0.00170456 0 6 82
0 0 6 83
0 0 6 84
-32.0066 25.9986 6 85
0 0 6 86
0 0 6 87
35.0186 4.00062 6 88
0 0 6 89
-0.00170456 0 6 90
-37.0163 -46.0163 6 91
0 0 6 92
5.00631 44.0123 6 93
44.017 -31.9995 6 94
-0.00170456 0 6 95
-15.0377 4.99758 6 96
2.15 13.58 6 97
6.13638 1.57893 
Fixated on saccade: 6
*******************************
*******************************
Starting saccade: 7
-32.4805 -34.8038 7 0
25.0384 13.9994 7 1
-0.00170456 0 7 2
-26.0202 -4.99849 7 3
0 0 7 4
0 0 7 5
38.0186 4.99849 7 6
-0.00170456 0 7 7
-5.03017 1.01342 7 8
0 0 7 9
0 0 7 10
0 0 7 11
-32.0185 -15 7 12
0 0 7 13
0.00170456 0 7 14
7.01088 24.0193 7 15
0 0 7 16
0 0 7 17
3.00515 22.0034 7 18
0 0 7 19
0 0 7 20
10.016 -26.0214 7 21
-0.00170456 0 7 22
-0.00170456 0 7 23
-4.99949 20.0022 7 24
0 0 7 25
0 0 7 26
28.0145 -12.9997 7 27
-0.00170456 0 7 28
0 0 7 29
-17.0269 -13.0006 7 30
0 0 7 31
0 0 7 32
0.00170456 0 7 33
24.0156 3.00001 7 34
0 0 7 35
0 0 7 36
-15.0257 21.0037 7 37
0.00170456 0 7 38
0 0 7 39
16.0212 5.00032 7 40
-0.00170456 0 7 41
-0.00170456 0 7 42
0 0 7 43
-30.0174 -10.9994 7 44
0 0 7 45
11.0371 1.9994 7 46
0 0 7 47
-0.00170456 0 7 48
-0.00170456 0 7 49
-18.0309 -3.99696 7 50
0 0 7 51
0.00170456 0 7 52
0 0 7 53
10.016 -23.0049 7 54
0 0 7 55
-5.00119 32.0041 7 56
0 0 7 57
0 0 7 58
0 9.13997 7 59
0 0 7 60
0 0 7 61
0 0 7 62
37.0129 -18.0001 7 63
-51.12 26.04 7 64
-24.1067 21.0396 
Failed to fixate on saccade: 7
*******************************
*******************************
Starting saccade: 8
47.1329 -3.00001 8 0
-6.46 -3.29 8 1
16.5527 11.7099 
Fixated on saccade: 8
*******************************
*******************************
Starting saccade: 9
-9.09 -12.52 9 0
5.65559 1.40523 
Failed to fixate on saccade: 9
*******************************
*******************************
Starting saccade: 10
-10.6655 -27.44 10 0
-4.99437 41.005 10 1
0 0 10 2
18.007 -46.0154 10 3
-0.00170456 0.000914637 10 4
-26.0134 41.0032 10 5
17.0354 4.99941 10 6
-0.00340913 0 10 7
-0.00170456 0 10 8
0 0 10 9
-10.0109 -35.015 10 10
0.00170456 0 10 11
0 0 10 12
-1.99434 29.0013 10 13
0 0 10 14
-7.01599 -20.0013 10 15
0 0 10 16
0 0 10 17
43.0181 12.9997 10 18
0 0 10 19
-9.02567 -17.0241 10 20
0.00170456 0 10 21
0.00340913 0 10 22
0 0 10 23
-7.01769 16.0208 10 24
0.00170456 0 10 25
0 0 10 26
0 0 10 27
22.0093 12 10 28
0 0 10 29
0 0 10 30
-31.0197 -6.99789 10 31
0 0 10 32
-1.99093 -33.0175 10 33
0.00170456 0 10 34
0 0 10 35
16.0195 16.0272 10 36
-0.00170456 0 10 37
0 0 10 38
-34.0129 22.0016 10 39
0 0 10 40
0 0 10 41
23.0253 -26.0214 10 42
0 0 10 43
-0.00170456 0 10 44
14.0064 -14.0058 10 45
0 0 10 46
0 0 10 47
0 0 10 48
-32.0168 30.0019 10 49
0 0 10 50
-13.0075 1.9994 10 51
0 0 10 52
0 0 10 53
0 0 10 54
10.0109 -27.0175 10 55
**************END**************
