inpX inpY inpRad outpX outpY outpRad lnkUsg
155.12 89.24 6.2 -3.36 4.63 3 -1
160 92.67 5.8 -1.13 7.16 3.2 0
167.62 109.5 4.4 1.22 0.62 2.6 5
160 92.67 5.8 -3.36 4.63 3 0
215.427 108.945 8.7 17.03 2.69 4 4
153.89 81.42 7 -1.13 7.16 3.2 2
160 68.33 8.3 0 30.89 5.2 -1
215.427 108.945 8.7 19.06 0 4.2 0
126.04 53.35 10.5 -12.28 37.81 5.9 0
113.22 127.4 7.8 -15.47 0 3.9 4
166.79 126.79 4 1.22 0.62 2.6 3
233.87 131.7 10.5 19.06 0 4.2 -1
227.41 52.58 12.6 17.51 17.51 4.6 -1
227.41 52.58 12.6 15.73 21.65 4.8 0
76.21 133.27 11.5 -28.44 -4.5 5 1
167.62 130.49 4.4 1.22 0.62 2.6 1
171.61 131.61 4.7 2.99 -2.99 2.9 1
171.61 131.61 4.7 1.22 0.62 2.6 0
220.59 120 9.1 17.03 2.69 4 3
158.04 126.01 3.7 1.22 0.62 2.6 2
143.77 122.56 4.7 -4.19 0.66 2.9 2
194.91 94.63 7.4 12.52 9.09 3.9 0
134.01 111.55 5.8 -7.16 -1.13 3.2 1
218.1 90.39 9.6 17.03 2.69 4 0
124.95 120 6.6 -7.16 -1.13 3.2 1
144.03 70.86 8.3 -5.16 32.619 5.3 1
150.51 118.49 4 1.22 0.62 2.6 1
226.64 86.04 10.5 21.7 7.05 4.5 0
206.88 184.52 11 11.2 -15.42 4.2 0
160 139.96 5.1 1.13 -7.16 3.2 1
171.7 193.87 10.5 3.87 -24.46 4.6 0
206.88 184.52 11 13.41 -18.46 4.5 1
141.27 62.37 9.1 -2.15 13.58 3.7 0
160 147.32 5.8 -1.63 -10.29 3.4 1
160 40.24 11 0 22.81 4.5 3
160 40.24 11 -3.27 20.66 4.3 0
126.04 186.64 10.5 -9.49 -18.63 4.3 0
125.2 102.27 7 -8.38 2.72 3.3 0
140.03 120 5.1 -3.77 -1.92 2.9 4
126.04 186.64 10.5 -7.05 -21.7 4.5 0
250.02 120 12 26.76 0 4.8 -1
254.75 71.71 13.6 29.43 14.99 5.3 1
178.99 126.17 5.1 7.16 1.13 3.2 1
182.01 97.98 6.2 7.13 5.18 3.3 2
163.69 96.69 5.5 0 5.72 3 0
163.69 96.69 5.5 1.77 5.44 3 0
162.56 136.22 4.7 1.13 -7.16 3.2 4
87.16 172.91 12 -24.99 -18.15 5.2 2
100.01 179.98 11.5 -37.52 -19.11 6.1 0
172.33 124 4.4 1.22 0.62 2.6 0
100.01 179.98 11.5 -41.85 -21.32 6.5 0
113.11 184.52 11 -13.41 -18.46 4.5 4
117.8 98.49 7.8 -13.58 2.15 3.7 3
171.73 136.15 5.1 2.99 -2.99 2.9 3
84.14 144.64 11 -25.45 -8.26 4.8 2
178.72 177.62 9.1 5.89 -18.12 4.2 1
161.95 113.98 3.7 1.22 0.62 2.6 1
203.15 120 7.4 12.06 0 3.6 4
160 132.97 4.4 0 -2.79 2.8 0
160 132.97 4.4 1.22 0.62 2.6 0
209.13 135.96 8.3 12.25 -6.24 3.7 1
84.41 158.51 11.5 -29.43 -14.99 5.3 0
244.788 105.048 12 24.46 3.87 4.6 2
219.23 201.53 13.1 20.7 -28.49 5.5 1
206.77 127.4 7.8 12.25 -6.24 3.7 1
164 107.66 4.4 1.22 0.62 2.6 1
237.676 108.605 12 24.46 3.87 4.6 0
237.713 108.419 12 20.66 3.27 4.3 1
150.51 121.5 4 1.22 0.62 2.6 1
237.713 108.419 12 24.46 3.87 4.6 0
145.36 127.45 4.7 -4.19 0.66 2.9 3
93.47 98.38 10.1 -18.12 5.89 4.2 1
93.47 98.38 10.1 -18.63 9.49 4.3 0
153.89 158.57 7 -1.63 -10.29 3.4 3
188.35 140.59 6.6 7.37 -7.37 3.4 0
160.48 123.08 3.4 1.22 0.62 2.6 0
118.88 63.4 10.1 -11.2 15.42 4.2 3
188.35 140.59 6.6 7.13 -5.18 3.3 0
157.22 118.58 3.4 1.22 0.62 2.6 2
160 100.03 5.1 0 5.72 3 2
110.03 94.54 8.7 -12.52 9.09 3.9 0
170.49 112.37 4.4 1.22 0.62 2.6 -1
171.61 108.38 4.7 1.22 0.62 2.6 3
144.03 169.13 8.3 -7.83 -15.36 4 0
211.66 120 8.3 17.03 2.69 4 1
151.44 124.36 4 1.22 0.62 2.6 3
104.61 111.22 8.7 -13.58 2.15 3.7 0
113.11 55.47 11 -9.49 18.63 4.3 0
160 171.66 8.3 0 -15.47 3.9 2
75.04 163.28 12.6 -24.99 -18.15 5.2 1
187.61 92.38 7 7.13 5.18 3.3 1
160 113.67 3.7 1.22 0.62 2.6 0
107.08 47.16 12 -17.51 17.51 4.6 1
161.41 117.22 3.4 1.22 0.62 2.6 4
167.45 134.63 4.7 1.13 -7.16 3.2 1
92.58 187.41 12.6 -23.35 -23.35 5.3 -1
126.51 86.51 7.8 -7.37 7.37 3.4 1
151.44 115.63 4 1.22 0.62 2.6 1
174.13 147.74 6.2 3.29 -6.46 3.2 0
118.95 106.66 7.4 -11.47 3.72 3.6 0
174.13 147.74 6.2 2.72 -8.38 3.3 2
159.51 123.08 3.4 1.22 0.62 2.6 2
211.518 106.508 8.7 17.03 2.69 4 0
211.536 106.482 8.7 13.58 2.15 3.7 0
211.536 106.482 8.7 17.03 2.69 4 0
121.48 195.58 11.5 -13.41 -18.46 4.5 0
147.66 124 4.4 -4.19 -0.66 2.9 0
147.66 124 4.4 1.22 0.62 2.6 0
156.3 143.3 5.5 0 -8.81 3.3 1
99.4 119.99 9.1 -17.03 -2.69 4 0
176.15 108.26 5.1 7.13 5.18 3.3 3
162.77 121.41 3.4 1.22 -0.62 2.6 0
162.77 121.41 3.4 1.22 0.62 2.6 0
168.55 124.36 4 1.22 0.62 2.6 0
265.01 66.49 14.7 24.99 18.15 5.2 0
181.02 109.28 5.5 10.29 1.63 3.4 1
103.4 161.11 10.1 -15.42 -11.2 4.2 0
103.4 161.11 10.1 -18.46 -13.41 4.5 0
107.08 192.83 12 -20.36 -20.36 5 -1
149.5 127.62 4.4 1.22 0.62 2.6 1
107.08 192.83 12 -17.51 -17.51 4.6 2
110.03 145.45 8.7 -15.42 -11.2 4.2 1
80.24 119.99 11 -24.46 3.87 4.6 1
93.35 86.04 10.5 -18.12 5.89 4.2 1
131.64 140.59 6.6 -5.13 -5.13 3.2 1
65.82 134.91 12.6 -33.5 -10.88 5.5 0
166.1 158.57 7 3.72 -11.47 3.6 2
198.51 195.58 11.5 11.24 -22.06 4.6 0
99.4 119.99 9.1 -30.89 0 5.2 0
95.58 109.79 9.6 -19.06 0 4.2 3
69.97 119.99 12 -28.44 -4.5 5 1
154.88 123.71 3.7 1.22 0.62 2.6 1
145.08 25.82 12.6 -4.5 28.44 5 7
145.08 25.82 12.6 0 26.76 4.8 0
168.55 115.63 4 1.22 0.62 2.6 1
116.71 204.95 12.6 -14.99 -29.43 5.3 0
148.26 136.15 5.1 -5.13 -5.13 3.2 2
