x y radius usage
75.04 163.28 12.6 2
187.61 92.38 7 1
160 113.67 3.7 0
107.08 47.16 12 1
161.41 117.22 3.4 4
167.45 134.63 4.7 1
92.58 187.41 12.6 -1
126.51 86.51 7.8 1
151.44 115.63 4 1
174.13 147.74 6.2 2
118.95 106.66 7.4 4
174.13 147.74 6.2 2
159.51 123.08 3.4 2
211.518 106.508 8.7 0
211.536 106.482 8.7 0
211.536 106.482 8.7 0
121.48 195.58 11.5 0
147.66 124 4.4 0
147.66 124 4.4 0
156.3 143.3 5.5 2
99.4 119.99 9.1 -1
176.15 108.26 5.1 4
162.77 121.41 3.4 0
162.77 121.41 3.4 0
168.55 124.36 4 0
265.01 66.49 14.7 -1
181.02 109.28 5.5 1
103.4 161.11 10.1 0
103.4 161.11 10.1 0
107.08 192.83 12 2
149.5 127.62 4.4 1
107.08 192.83 12 2
110.03 145.45 8.7 1
80.24 119.99 11 1
93.35 86.04 10.5 1
131.64 140.59 6.6 1
65.82 134.91 12.6 0
166.1 158.57 7 3
198.51 195.58 11.5 0
99.4 119.99 9.1 -1
95.58 109.79 9.6 4
69.97 119.99 12 1
154.88 123.71 3.7 1
145.08 25.82 12.6 11
145.08 25.82 12.6 11
168.55 115.63 4 1
116.71 204.95 12.6 0
148.26 136.15 5.1 3
69.35 185.85 14.2 0
170.82 153.33 6.6 1
170.2 55.58 9.6 2
170.2 55.58 9.6 2
84.8 44.8 13.6 0
172.97 120 4.4 4
146.72 36.21 11.5 1
235.19 44.8 13.6 0
272.86 96.348 12.6 0
272.72 96.149 12.6 0
272.72 96.149 12.6 0
164.36 111.44 4 0
179.96 120 5.1 1
84.41 81.48 11.5 0
86.12 131.7 10.5 0
174.91 214.17 12.6 8
94.14 210.64 14.2 0
84.41 81.48 11.5 0
183.3 123.69 5.5 1
155.63 128.55 4 1
260.78 120 13.1 0
248.186 92.632 12.6 0
143.84 108.26 5.1 4
64.14 151.14 13.1 1
152.54 105.36 4.7 -1
153.82 101 5.1 0
