Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432293466, 1, 0, 0, 1, 1, r, reaching, 0.154716, -0.225171, 0.121643, 0.195043, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293468, 1, 0, 0, 1, 0, r, complete, 0.161148, -0.225936, 0.121617, 0.181518, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293469, 1, 0, 0, 1, 1, l, reaching, 0.162828, -0.201936, -0.224484, 0.362761, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293474, 1, 0, 0, 1, 0, l, complete, 0.143495, -0.282171, -0.124319, 0.286062, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293485, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293486, 1, 0, 0, 1, 1, r, reaching, 0.272784, -0.161241, 0.219924, 0.386542, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293493, 1, 0, 0, 1, 0, r, complete, 0.159372, -0.225724, 0.121388, 0.184888, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293497, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293497, 1, 0, 0, 0, 1, l, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293505, 1, 0, 0, 0, 0, l, complete, 0.154432, -0.275927, -0.114731, 0.291961, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293508, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293510, 1, 0, 0, 1, 1, l, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293511, 1, 0, 0, 1, 0, l, reaching, 0.20972, -0.159547, -0.23518, 0.386547, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293539, 1, 2, 0, 1, 0, l, complete, 0.139926, -0.276903, -0.131159, 0.28937, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293539, 1, 2, 0, 1, 0, l, complete, 0.139926, -0.276903, -0.131159, 0.28937, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293545, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293546, 1, 2, 0, 1, 1, l, reaching, 0.163129, -0.201697, -0.22325, 0.362466, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293548, 1, 2, 0, 1, 0, l, reaching, 0.118695, -0.279188, -0.156614, 0.281204, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293550, 1, 2, 0, 1, 1, l, reaching, 0.143159, -0.279363, -0.125689, 0.292809, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293552, 1, 2, 0, 1, 0, l, complete, 0.153666, -0.280701, -0.113084, 0.291946, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293553, 1, 2, 0, 1, 1, r, reaching, 0.272463, -0.16584, 0.225609, 0.384305, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293557, 1, 2, 0, 1, 0, r, reaching, 0.147611, -0.23224, 0.150267, 0.258896, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293557, 1, 2, 0, 0, 1, r, reaching, 0.147611, -0.23224, 0.150267, 0.258896, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293559, 1, 2, 0, 0, 0, r, reaching, 0.16536, -0.225227, 0.122789, 0.175804, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293561, 1, 2, 0, 1, 1, r, reaching, 0.182088, -0.224149, 0.124372, 0.150823, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293562, 1, 2, 0, 1, 0, r, complete, 0.189926, -0.222831, 0.129444, 0.143383, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293569, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293571, 1, 2, 0, 1, 1, r, reaching, 0.274847, -0.159914, 0.221294, 0.387338, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293574, 1, 2, 0, 1, 0, r, reaching, 0.150967, -0.228734, 0.152033, 0.270328, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293574, 1, 2, 0, 0, 1, l, reaching, 0.150967, -0.228734, 0.152033, 0.270328, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293580, 1, 2, 0, 0, 0, l, complete, 0.140564, -0.276379, -0.130722, 0.289464, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293581, 1, 2, 0, 1, 1, r, reaching, 0.145944, -0.226931, 0.117639, 0.20723, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293582, 1, 2, 0, 1, 0, r, complete, 0.15545, -0.226022, 0.117707, 0.188825, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
